research_finding,source,evidence_status,formal_safety_rule_or_no_rule_created,motivo
"Gap 1a -- Entrenamiento reactivo/perturbacion reduce caidas ~20-35% (3 SR/MA 2022-2025), con senal de seguridad (29% vs 20% eventos adversos)",3x SYSTEMATIC_REVIEW/META_ANALYSIS 2022-2025,PARTIALLY_RESOLVED,NO_RULE_CREATED,No existe ningun EXERCISE ni EXERCISE_VARIANT objetivo en LIBRARY_PILOT_v1.1 -- #30 (entrenamiento_reactivo_de_pasos) no esta construido todavia (NEXT_APPROVED_EXERCISE_PENDING_BUILD). Crear una regla sin entidad destino generaria un selector potencialmente huerfano. Evaluacion de suficiencia de cobertura para construir #30 en NUTRILONGX_EJERCICIO_SAFETY_RULES_BUILD_REPORT_v1.md seccion sobre #30.
"Gap 1b -- Escalera de agilidad: evidencia dispersa, solo estudios primarios pequenos en poblacion no fragil, sin SR dedicada","PRIMARY_STUDY dispersos, sin SYSTEMATIC_REVIEW",UNRESOLVED,NO_RULE_CREATED,"Evidencia insuficiente para formalizar ninguna regla; ademas #31 (escalera_de_agilidad) permanece SESSION_TEMPLATE reservado a Fase 3C, no construido."
Gap 2 -- Transicion suelo-bipedestacion es entrenable con progresion apoyo->sin apoyo (Leonhardt 2020 SR + 2 RCT),"Leonhardt 2020 (SYSTEMATIC_REVIEW), Hofmeyer 2002 (PRIMARY_STUDY), piloto RCT 2026 Age and Ageing (PRIMARY_STUDY)",PARTIALLY_RESOLVED,RULE_CREATED,"safety_rule.fragilidad_sarcopenia.floor_transition_adaptation + safety_rule.edad_avanzada.floor_transition_adaptation (ADAPTATION, attribute_selector requires_floor_transition=true). Aplica directamente a #29 ya construido en LIBRARY_PILOT_v1.1."
Gap 3 -- Loaded carry: parametros de dosis razonables descritos para adultos sanos (Winwood 2019 SR); ausencia total de evidencia especifica en poblacion fragil,"Winwood 2019 (SYSTEMATIC_REVIEW), material practico NSCA (no peer-reviewed)",PARTIALLY_RESOLVED (sanos) / UNRESOLVED (fragiles),RULE_CREATED (parcial),"safety_rule.fragilidad_sarcopenia.loaded_carry_grip_precaution (PRECAUTION, principio tecnico general, SIN fijar carga/distancia). El sub-aspecto de dosis numerica para fragilidad permanece EVIDENCE_GAP explicito -- no se crea ninguna regla de dosis."
Gap 4 -- HIIT modificado/supervisado es seguro en fragilidad/edad avanzada (ICFSR consenso + 2 SR/MA); HIIT no modificado y oncologia en tratamiento activo sin evidencia,"ICFSR 2019/2021 (CONSENSUS), Parraga-Montilla 2024 (SYSTEMATIC_REVIEW), Palma 2021 (SYSTEMATIC_REVIEW/META_ANALYSIS), Wewege 2018 (SYSTEMATIC_REVIEW, proxy cardiovascular)",PARTIALLY_RESOLVED,RULE_CREATED,"safety_rule.fragilidad_sarcopenia.hiit_modification_precaution + safety_rule.edad_avanzada.hiit_modification_precaution + safety_rule.oncologia.hiit_modification_precaution (las 3 PRECAUTION, training_format=HIIT). Oncologia en tratamiento activo/subgrupos hematologicos-metastasis osea permanece EVIDENCE_GAP declarado dentro de la propia regla, no una regla separada."
Gap 5 -- Impacto moderado seguro/beneficioso en osteoporosis postmenopausica (consenso UK 2022); impacto alto + carga pesada sin umbrales validados para uso no supervisado,"Strong Steady and Straight 2022 (CONSENSUS), revision narrativa 2025 HiRIT, piloto home-hopping 2020, meta-analisis 2022",PARTIALLY_RESOLVED,RULE_CREATED (parcial),"safety_rule.menopausia.high_impact_precaution (PRECAUTION, attribute_selector impact_level=HIGH). Impacto MODERATE no recibe regla restrictiva -- evidencia lo respalda como generalmente beneficioso, no se crea ninguna regla que limite lo que la evidencia recomienda."
Gap 6 -- Relacion dosis-respuesta aguda intensidad/duracion isometrica -> PA cuantificada (MacDougall 1985 + SR 2024); beneficio cronico del entrenamiento isometrico bien dosificado (MA BJSM 2023),"MacDougall 1985 (PRIMARY_STUDY), SR Sports Medicine 2024 (SYSTEMATIC_REVIEW), MA BJSM 2023 (META_ANALYSIS), estudio n=12 hipertensos (PRIMARY_STUDY)",PARTIALLY_RESOLVED,RULE_CREATED,"safety_rule.hta.valsalva_isometric_effort_precaution (PRECAUTION, attribute_selector valsalva_risk_relevant=true). Sin fijar umbral numerico de PA -- la cuantificacion es mayoritariamente en sujetos sanos extrapolada, no validada para uso no supervisado en HTA real a gran escala."
"Estratificacion de riesgo CV de preparticipacion: HTA no controlada >200/110 mmHg es criterio RELATIVE (no ABSOLUTE), ya catalogado en Fase 1","ACC/AHA (Gibbons et al., reflejado en ACSM GETP) -- GUIDELINE","N/A (no es un gap de 3B-R, ya establecido en Fase 1 B.3)",RULE_CREATED,"safety_rule.hta.preparticipation_severe_uncontrolled_baseline (RELATIVE_CONTRAINDICATION, scope=profile_baseline)."
"Exclusion explicita de HIIT en enfermedad renal cronica, ya catalogado en Fase 1 como fuente principal del perfil renal_leve_moderada","UKKA 2021 (UK Kidney Association, endosada por NICE) -- GUIDELINE","N/A (no es un gap de 3B-R, ya establecido en Fase 1 B.4)",RULE_CREATED,"safety_rule.renal_leve_moderada.hiit_relative_contraindication (RELATIVE_CONTRAINDICATION, training_format=HIIT)."
"Recomendacion consistente de soporte/supervision para ejercicio con demanda de equilibrio en mayores/fragilidad, ya catalogado en Fase 1 y en la matriz de cobertura (fall_risk x EA/FRAG = RULE_REQUIRED)","WHO 2020 (older adult neuromotor), NICE NG249 2025, Otago/Campbell 1999 -- GUIDELINE/PRIMARY_STUDY fundacional","N/A (no es un gap de 3B-R, matriz de cobertura ya aprobada)",RULE_CREATED,"safety_rule.fragilidad_sarcopenia.fall_risk_adaptation + safety_rule.edad_avanzada.fall_risk_adaptation (ADAPTATION, attribute_selector fall_risk_relevant=true)."
