legacy_id,legacy_pillar,legacy_level,canonical_action_id,canonical_domain,canonical_subdomain,variant_status,variant_review_flags,family_review_flags,family_status
ALI-BRO-031,Alimentación,Bronce,nutrition.hydration.agua_l_dia,nutrition,hydration,active,,,active
ALI-BRO-032,Alimentación,Bronce,nutrition.processed_reduction.intercambia_embutido_por_hummus_aguacate,nutrition,processed_reduction,active,,,active
ALI-BRO-033,Alimentación,Bronce,nutrition.meal_planning.cocina_en_casa_comida_ultraprocesada,nutrition,meal_planning,active,,,active
ALI-BRO-034,Alimentación,Bronce,nutrition.mediterranean_pattern.incluye_raciones_de_verduras_de_hoja,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-035,Alimentación,Bronce,nutrition.mediterranean_pattern.anade_racion_de_legumbre_en_ensalada,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-036,Alimentación,Bronce,nutrition.processed_reduction.una_pieza_de_fruta_extra_por_snack,nutrition,processed_reduction,active,,,active
ALI-BRO-037,Alimentación,Bronce,nutrition.processed_reduction.elige_agua_tambien_fuera_de_casa,nutrition,processed_reduction,active,,,active
ALI-BRO-038,Alimentación,Bronce,nutrition.mediterranean_pattern.incluye_cereal_integral_distinto_avena_q,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-039,Alimentación,Bronce,nutrition.meal_planning.usa_metodo_del_plato_verdura,nutrition,meal_planning,active,,,active
ALI-BRO-040,Alimentación,Bronce,nutrition.meal_planning.registra_lo_que_comes_foto_nota,nutrition,meal_planning,active,,,active
ALI-BRO-041,Alimentación,Bronce,nutrition.meal_planning.planifica_menu_mediterraneo_semanal,nutrition,meal_planning,active,,,active
ALI-BRO-042,Alimentación,Bronce,nutrition.processed_reduction.salsa_casera_tomate_legumbre_sin_azucar,nutrition,processed_reduction,active,,,active
ALI-BRO-043,Alimentación,Bronce,nutrition.processed_reduction.reduce_upf_snacks_envasados,nutrition,processed_reduction,active,,,active
ALI-BRO-044,Alimentación,Bronce,nutrition.processed_reduction.reduce_dulces_industriales_a_hoy,nutrition,processed_reduction,active,,,active
ALI-BRO-045,Alimentación,Bronce,nutrition.mediterranean_pattern.anade_semillas_linaza_chia_cda,nutrition,mediterranean_pattern,active,,,active
