candidate_id,source_sheet,source_cells,pattern_type,rule_expression_found,input_variable,operator,threshold_or_value,clinical_profile_or_domain,output,reason_code,classification,confidence_of_reconstruction,notes
RC-01,RECETAS_NUTRILONGX,AG5:AG12 (APTO_PERDIDA_PESO),enum_output_column,NONE (valor SI/NO/PENDIENTE_REVISION por celda sin formula ni criterio visible),n/a,n/a,n/a,PERDIDA_PESO (objetivo, no perfil clinico formal),SI/NO/PENDIENTE_REVISION/NO_APLICA,NONE,OUTPUT_ONLY,N/A - no reconstruible sin inferencia,Sin columna de justificacion asociada
RC-02,RECETAS_NUTRILONGX,AH5:AH12 (APTO_GANANCIA_MASA),enum_output_column,NONE,n/a,n/a,n/a,GANANCIA_MASA (objetivo),SI/NO,NONE,OUTPUT_ONLY,N/A,Sin columna de justificacion asociada
RC-03,RECETAS_NUTRILONGX,AI5:AI12 + AJ5:AJ12 (APTO_MENOPAUSIA + JUSTIFICACION),enum_output_column_with_free_text_justification,NONE (justificacion en texto libre no estructurada),n/a,n/a,n/a,MENOPAUSIA,SI,texto libre en columna AJ,OUTPUT_ONLY,N/A,Unica de las 10 con justificacion en las 8 filas; sigue siendo texto libre no regla estructurada
RC-04,RECETAS_NUTRILONGX,AK5:AK12 + AL5:AL12 (APTO_LONGEVIDAD + JUSTIFICACION),enum_output_column_with_free_text_justification,NONE,n/a,n/a,n/a,LONGEVIDAD (pilar de programa, no perfil clinico del Master),SI,texto libre en columna AL,OUTPUT_ONLY,N/A,LONGEVIDAD no aparece entre los 14 codigos clinicos del Master
RC-05,RECETAS_NUTRILONGX,AM5:AM12 + AN5:AN12 (APTO_ONCOLOGIA + JUSTIFICACION),enum_output_column_with_free_text_justification,NONE,n/a,n/a,n/a,ONCOLOGIA,PENDIENTE_REVISION (todas las 8 filas),texto libre en columna AN,OUTPUT_ONLY,N/A,INSTRUCCIONES confirma pendiente de validacion especializada
RC-06,RECETAS_NUTRILONGX,AO5:AO12 (APTO_DIABETES),enum_output_column,NONE,n/a,n/a,n/a,DIABETES,SI/PENDIENTE_REVISION,NONE,OUTPUT_ONLY,N/A,Sin justificacion asociada
RC-07,RECETAS_NUTRILONGX,AP5:AP12 (APTO_RENAL),enum_output_column,NONE,n/a,n/a,n/a,RENAL,PENDIENTE_REVISION/SI,NONE,OUTPUT_ONLY,N/A,Sin justificacion asociada
RC-08,RECETAS_NUTRILONGX,AQ5:AQ12 (APTO_CARDIOVASCULAR),enum_output_column,NONE,n/a,n/a,n/a,CARDIOVASCULAR,SI/PENDIENTE_REVISION,NONE,OUTPUT_ONLY,N/A,Sin justificacion asociada
RC-09,RECETAS_NUTRILONGX,AR5:AR12 (APTO_TCA),enum_output_column,NONE,n/a,n/a,n/a,TCA (sin equivalente en los 14 codigos del Master),NO_APLICA (las 8 filas),NONE,OUTPUT_ONLY,N/A,Constante en las 8 filas
RC-10,RECETAS_NUTRILONGX,AS5:AS12 (APTO_EMBARAZO),enum_output_column,NONE,n/a,n/a,n/a,EMBARAZO,PENDIENTE_REVISION/SI,NONE,OUTPUT_ONLY,N/A,Sin justificacion asociada
RC-11,RECETAS_NUTRILONGX,S5:S12 (DELTA_KCAL_FLAG),enum_output_column,NONE (criterio numerico del umbral de tolerancia no visible en ninguna celda),DELTA_KCAL (columna R valor numerico),desconocido,desconocido,coherencia kcal/macros (no perfil clinico),OK,NONE,OUTPUT_ONLY,N/A - no se infiere el umbral,Unico caso con un valor numerico de entrada visible (DELTA_KCAL) pero sin el operador/umbral que lo evalua
RC-12,RECETAS_TEST_RESULTS,C4:L11 (10 columnas TEST_* + RESULTADO_FINAL),enum_output_columns,NONE,n/a,n/a,n/a,multiple (alergenos intolerancias claims perfil_clinico alimentos_excluidos suplementos objetivo),OK/REVISION,MOTIVOS (texto libre columna M),OUTPUT_ONLY,N/A,10 checks ya aplicados sin ninguna regla o criterio visible que los produjera; unico caso con evidencia textual de fallo real (NLX-007 alergenos=REVISION)
